Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
2016-09-23,2 - Plastic,,Sampler nozzle material,,Information
2016-09-23,2 - Plastic,,Sampler nozzle material,,Information
2016-09-23,2 - Plastic,,Sampler nozzle material,,Information
2017-04-17,2 - Plastic,,Sampler nozzle material,,Information
2017-08-19,1 - Brass,,Sampler nozzle material,,Information
2018-04-21,2 - Plastic,,Sampler nozzle material,,Information
2018-04-24,2 - Plastic,,Sampler nozzle material,,Information
2018-04-27,2 - Plastic,,Sampler nozzle material,,Information
2018-05-03,2 - Plastic,,Sampler nozzle material,,Information
2018-06-08,2 - Plastic,,Sampler nozzle material,,Information
2018-06-10,2 - Plastic,,Sampler nozzle material,,Information
2018-06-23,2 - Plastic,,Sampler nozzle material,,Information
2018-06-25,2 - Plastic,,Sampler nozzle material,,Information
2019-03-25,2 - Plastic,,Sampler nozzle material,,Information
2019-03-29,2 - Plastic,,Sampler nozzle material,,Information
2019-04-16,2 - Plastic,,Sampler nozzle material,,Information
2019-04-18,2 - Plastic,,Sampler nozzle material,,Information
2019-05-29,2 - Plastic,,Sampler nozzle material,,Information
2019-07-05,2 - Plastic,,Sampler nozzle material,,Information
2019-07-05,2 - Plastic,,Sampler nozzle material,,Information
